seq	strand	score	tsd_len	polya_len	polya_offset	ext5	ext3	elem_len
OZ485876.1	+	19	19	15	2113	1617	2128	5906
OZ485876.1	-	12	12	16	1535	1730	1551	5423
OZ485876.1	-	14	14	15	1802	173	1817	4116
OZ485877.1	+	11	11	15	1340	1036	1355	4524
OZ485877.1	+	13	13	15	1828	533	1843	4536
OZ485877.1	-	12	12	17	1384	502	1401	4053
OZ485878.1	+	13	13	16	1318	781	1334	4244
OZ485881.1	-	14	14	15	1969	887	1984	5025
OZ485883.1	+	11	11	18	1895	867	1913	4855
OZ485883.1	-	12	12	16	1543	432	1559	4084
OZ485884.1	+	11	11	15	1324	928	1339	4386
OZ485884.1	-	11	11	17	1389	411	1406	3957
OZ485884.1	-	13	13	15	1310	617	1325	4066
OZ485884.1	-	14	14	15	1775	1975	1790	5919
OZ485888.1	+	14	14	16	1656	2076	1672	5940
OZ485889.1	+	14	17	16	1901	482	1917	4543
OZ485889.1	+	15	15	20	1925	715	1945	4827
OZ485890.1	+	11	11	17	1574	2034	1591	5767
OZ485890.1	-	13	13	15	1802	1792	1817	5772
OZ485891.1	+	14	14	26	1922	146	1948	4261
OZ485892.1	+	11	11	31	1370	118	1401	3664
OZ485892.1	-	13	13	15	1825	330	1840	4324
OZ485893.1	+	13	13	16	1318	746	1334	4209
