seq	strand	score	tsd_len	polya_len	polya_offset	ext5	ext3	elem_len
CM031545.1	-	16	16	19	1549	1686	1568	5418
CM031546.1	+	11	11	16	1542	1796	1558	5511
CM031546.1	+	15	15	15	140	2058	155	6106
CM031546.1	-	12	12	15	1611	1761	1626	5574
CM031547.1	-	13	13	16	1591	1544	1607	5255
CM031548.1	+	11	14	16	2322	1990	2338	6424
CM031548.1	+	14	14	15	333	1785	348	5986
CM031549.1	-	11	11	16	134	1840	150	5936
CM031549.1	-	11	11	19	1530	377	1549	4110
CM031549.1	-	16	16	16	1560	1740	1576	5496
CM031550.1	+	11	11	17	1609	1611	1626	5379
CM031550.1	-	12	12	17	147	2033	164	6231
CM031550.1	-	13	13	21	1596	1730	1617	5540
CM031550.1	-	14	17	15	1991	1766	2006	5925
CM031551.1	+	14	17	17	104	670	121	4759
CM031551.1	-	11	14	17	1726	2005	1743	5940
JAANAQ010000012.1	-	11	11	16	1712	2065	1728	5964
